id;posicao;colecao_nome;volume;variacao;preco;vendas;donosUnicos;listagem;dia;colecao_id
1;32;cMyKatz;64;0;0.02;4;11;0.15;18/04/23;1
2;48;Cool Cats NFT;42;4;1.00;41;56;3;18/04/23;2
3;56;Gemesis;31;27;0.04;816;52;5;18/04/23;3
4;64;RENGA;27;-27;0.63;38;37;7;18/04/23;4
5;68;Ravendale;25;518;0.44;58;74;6;18/04/23;5
6;70;Trump Digital Trading Cards;24;173;0.40;60;31;3;18/04/23;6
7;16;Opepen Edition;158;20;0.38;386;31;3;18/04/23;8
8;72;OnChainMonkey;23;-77;1.70;15;32;2;18/04/23;9
9;74;ArbShibAI;23;122;0.01;9691;4;0.66;18/04/23;10
10;75;Chromie Squiggle by Snowfro;23;-63;9.07;2;30;1;18/04/23;11
11;76;a KID called BEAST;21;-75;0.57;36;39;7;18/04/23;12
12;73;CyberBrokers;23;-77;0.47;50;32;3;18/04/23;13
13;71;AIShiba OG Collection;23;0;0.01;8958;24;1;18/04/23;7
14;69;The Sandbox;24;171;0.48;23;19;0.84;18/04/23;14
15;66;Valhalla;25;-27;0.63;33;34;4;18/04/23;15
16;67;Nouns;25;-0.04;30.00;1;59;2;18/04/23;16
17;65;HeeDong;26;-6;0.19;148;33;2;18/04/23;17
18;60;The Abyss;29;0;0.01;1319;66;9;18/04/23;18
19;62;Bored Ape Chemistry Club;28;0;13.00;2;51;0;18/04/23;19
20;63;ALTS by adidas;27;-2;0.44;48;57;2;18/04/23;20
21;61;ImPerfectChica;28;76841;0.01;2;25;1;18/04/23;21
22;58;Checks - VV Originals;30;9;0.32;74;31;6;18/04/23;22
23;59;ZenFreedom by Capies;29;3;0.05;3;69;3;18/04/23;23
24;57;DigiDaigaku Genesis;30;100;4.19;8;39;1;18/04/23;24
25;52;Kanpai Pandas;36;-21;1.31;28;26;3;18/04/23;25
26;54;KILLABEARS;34;53;3.07;11;32;4;18/04/23;26
27;55;Drill Club;31;0;16.60;4288;38;2;18/04/23;27
28;53;Outlaws;35;-69;0.03;883;29;11;18/04/23;28
29;50;mfers;37;4;0.76;26;56;3;18/04/23;29
30;51;NFT Worlds;37;-29;2.14;17;9;0.72;18/04/23;30
31;49;KnownOrigin;39;235971;0.01;14;11;2;18/04/23;31
32;40;The Lost Glitches;56;591176;0.01;2;26;0.48;18/04/23;32
33;44;y00ts;50;-23;1.90;26;10;3;18/04/23;33
34;46;The Memes by 6529;48;329;0.07;154;11;0;18/04/23;34
35;47;CryptoPunks V1 (wrapped);45;173;4.30;10;25;3;18/04/23;35
36;45;Kandyland;49;145;0.08;661;37;6;18/04/23;36
37;42;Checks - VV Edition;52;-6;0.53;97;37;3;18/04/23;37
38;43;Redacted Remilio Babies;51;-39;0.43;122;21;3;18/04/23;38
39;41;Otherside Vessels;56;-14;0.31;132;31;1;18/04/23;39
40;36;Claw Machines;62;0;0.00;4;91;0;18/04/23;40
41;38;GEISAI 2022 Official NFT;58;3;0.04;69;52;3;18/04/23;41
42;39;FRENS.HOUSE ART;57;55;0.20;33;69;0.8;18/04/23;42
43;37;Girlies NFT;59;0;0.02;4;41;0.96;18/04/23;43
44;34;The Superlative Secret Society;63;480975;0.01;5;54;1;18/04/23;44
45;35;HYPEBEARSCLUB.OFFICIAL;62;565750;0.01;8;34;0.7;18/04/23;45
46;33;YOU THE REAL MVP;64;0;69.42;1;66;0.71;18/04/23;46
47;24;ENS: Ethereum Name Service;100;166;0.10;64;24;5;18/04/23;47
48;28;Pepe Open Editions by Matt Furie;74;170;0.03;1699;10;0;18/04/23;48
49;30;Valeria Games Genesis Land;71;1489;0.19;272;22;2;18/04/23;49
50;31;Otherside Koda;67;13;8.49;7;61;5;18/04/23;50
51;29;Muppeth;73;-77;0.05;1279;41;9;18/04/23;51
52;26;Doodles;80;-23;2.49;32;55;3;18/04/23;52
53;27;Terraforms by Mathcastles;80;259;1.69;46;19;2;18/04/23;53
54;25;Mythics Eggs;84;0;0.43;180;70;4;18/04/23;54
55;20;Otherdeed for Otherside;118;45;1.33;66;32;2;18/04/23;55
56;22;Consortium Key;113;545;3.50;35;26;0.85;18/04/23;56
57;23;The Captainz;105;-63;6.85;15;46;0.54;18/04/23;57
58;21;Otherdeed Expanded;116;14;0.85;103;32;3;18/04/23;58
59;18;Meebits;124;46;2.29;54;33;2;18/04/23;59
60;19;Moonbirds Oddities;122;347;0.33;323;56;2;18/04/23;60
61;17;The Potatoz;137;-32;3.02;46;30;0.53;18/04/23;61
62;8;Nakamigos;257;-36;0.37;562;28;11;18/04/23;62
63;12;Milady Maker;207;72;2.10;106;34;2;18/04/23;63
64;14;World of Women;161;277;1.11;146;56;2;18/04/23;64
65;15;Pixelmon - Generation 1;158;-80;0.90;155;27;3;18/04/23;65
66;13;Pudgy Penguins;188;-61;3.79;50;52;3;18/04/23;66
67;10;CLONE X - X TAKASHI MURAKAMI;233;-41;2.74;68;50;3;18/04/23;67
